Group hierarchy;Region;Service;Upfront;Monthly;First 12 months total;Currency;Configuration summary
My Estimate;US East (N. Virginia);Amazon Virtual Private Cloud (VPC);0;724.05;8688.60;USD;Number of NAT Gateways (1)
My Estimate;US East (N. Virginia);S3 Standard;0;484.75;5817.00;USD;S3 Standard storage (15 TB per month)
My Estimate;US East (N. Virginia);Data Transfer;0;0;0.00;USD;Data Transfer
My Estimate;US East (N. Virginia);Amazon EC2;0;3913.6;46963.20;USD;Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1 TB), Instance type (m5n.8xlarge)
My Estimate;US East (N. Virginia);Elastic Load Balancing;0;56.21;674.52;USD;Number of Application Load Balancers (2)
My Estimate;US East (N. Virginia);Amazon Virtual Private Cloud (VPC);0;2401.19;28814.28;USD;Data Transfer, Data transfer cost (2401.19)
My Estimate;US East (N. Virginia);Amazon RDS for PostgreSQL;0;3686.866;44242.39;USD;Quantity (2), Storage volume (General Purpose SSD (gp2)), Storage amount (5 TB per month), Instance type (db.m5.2xlarge)
My Estimate;US East (N. Virginia);Amazon MQ;0;1359.6000000000001;16315.20;USD;Amazon MQ Broker Instance (mq.m4.large), Storage per Broker (1 TB), Data Transfer, Data transfer cost (307.2), Number of Brokers running (2)
My Estimate;US East (N. Virginia);Amazon DocumentDB (with MongoDB compatibility);0;3904.88;46858.56;USD;(1 instances)  db r4.8xlarge, Storage (5 TB), I/Os (250), Backup storage (5 TB)
My Estimate;US East (N. Virginia);Amazon ElastiCache;0;2657.2;31886.40;USD;(1 instances)  Memcached  Memory optimized  cache r4.8xlarge  OnDemand
;;;;;;;
;;;;;;;
;;;;;;;
AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.;;;;;;;
;;;;;;;
Since we have a pretty good budget I decided to upgrade my EC2 instances for better performance. I also think a no-sql solution is a must in today’s modern web apps so I add DocumentDb for no-sql use cases like in app chat. A memcache can drastically increase app performance thus improve user experience so I Add Elasticache service. Finally I add MQ service to properly implement a micro service based architecture.;;;;;;;
